店名,评论,口味,环境,服务,总分数
 渝大狮毛肚老火锅(南坪总店) ,13710,9.0,8.8,8.9,9.399999999999999
 马房湾66号·江湖菜 ,16643,8.8,8.5,8.8,8.2
 月半(解放碑店) ,13825,8.5,8.1,8.5,7.3
 在渝里·重庆火锅(十八梯原址保留火锅单位店) ,4492,9.0,9.0,9.1,7.25
 谭记民间菜(总店) ,3041,9.0,9.1,9.0,7.25
 丁孃孃火锅(洪崖洞店) ,3300,9.0,9.0,9.0,7.25
 饭粑跎(得意世界店) ,12857,8.2,8.3,8.3,6.7
 瓜西西火锅(洪崖洞店) ,10697,8.8,8.3,8.6,6.65
 洞洞隐火锅·地下防空洞店 ,7014,8.4,8.3,8.4,6.2
 渝味洞藏?洞子火锅 ,5371,8.9,8.5,9.0,6.2
 李串串老店·李杰一家三口(解放碑总店) ,14370,8.3,7.6,7.9,6.1000000000000005
 枇杷园食为鲜火锅(南山店) ,9934,7.9,8.6,8.0,5.900000000000001
 情书·中餐厅(长嘉汇店) ,2610,9.1,9.3,9.2,5.6
 十八梯邓凳面(解放碑总店) ,12168,8.4,8.1,8.3,5.3
 雅云台·Skyline江景餐厅 (南滨路店) ,1183,9.1,9.3,9.3,5.05
 泗辣火锅(观音桥店) ,1311,9.3,9.0,9.2,5.05
 天贵热油豆花饭·非物质文化遗产(中山路店) ,1427,9.0,8.6,8.6,4.55
 秋孃孃火锅(老店) ,5467,8.3,8.0,8.1,3.3499999999999996
 秋山小院Autumn mountain(解放碑店) ,802,8.2,9.0,8.4,2.95
 莲姐火锅(洪崖洞店) ,890,8.5,8.1,8.4,2.35
 市外see wide江景餐厅(南滨路店) ,1997,7.7,8.4,8.0,2.15
 熊家江湖菜·川菜·蹄花汤(解放碑七星岗店) ,489,8.7,8.0,8.3,1.75
 尹妈秘制(万州总店) ,2753,7.9,8.1,7.9,1.7
