店名,评论,口味,环境,服务,总分数
 月满大江千层肚火锅(武侯祠店) ,14001,9.1,9.1,9.1,10.0
 饕林餐厅(武侯祠店) ,13025,9.0,9.0,9.1,10.0
 陶德砂锅(营门口店) ,10570,9.1,9.1,9.2,10.0
 烤匠麻辣烤鱼(IFS店) ,23725,9.0,9.0,8.9,9.85
 陶德砂锅(蜀汉路店) ,16918,9.0,8.8,9.1,9.85
 川西坝子火锅(清江东路3.0直营店) ,15785,8.9,9.0,9.0,9.85
 烤匠麻辣烤鱼(万象城店) ,10740,9.0,8.8,9.0,9.85
 回水镇江湖川菜(太古里店) ,9677,9.0,8.9,8.9,9.7
 饕林餐厅(春熙路店) ,26774,8.9,8.8,9.0,9.7
 五里关火锅(五里墩店) ,13169,9.0,8.4,9.0,9.55
 五里关火锅(小关庙店) ,17449,9.0,8.5,9.0,9.55
 海底捞火锅(春熙路群光广场店) ,7710,9.1,9.1,9.1,9.45
 烤匠麻辣烤鱼(龙湖西宸天街店) ,7288,9.1,9.0,9.0,9.45
 龙翔山庄雷鸡肉(青城山店) ,8830,9.1,9.1,9.2,9.45
 将军府壹号·鸡毛店(人民公园店) ,8865,9.0,9.0,9.1,9.45
 吼堂老火锅(太古里总店) ,21948,8.9,8.9,8.8,9.399999999999999
 原乡漫生活咖啡牛排馆(海棠湾店) ,7994,8.9,9.0,9.0,9.3
 生如夏花泰式海鲜火锅(万象城店) ,8595,9.0,9.0,8.9,9.3
 都氏二当家(ifs旗舰店) ,8963,8.8,9.1,9.0,9.3
 陶德砂锅(双楠店) ,8467,9.0,8.9,9.1,9.3
 川西坝子火锅(金沙1.0直营店) ,10055,8.6,8.8,8.8,9.25
 生如夏花泰式火锅(龙湖西宸店) ,7723,8.9,9.0,8.9,9.15
 匠和风精致料理(悠方店) ,7721,8.9,8.9,9.0,9.149999999999999
 小龙翻大江文化火锅(太古里店) ,11217,8.4,9.1,8.5,9.100000000000001
 小龙翻大江文化火锅(宽窄店) ,16228,8.4,9.1,8.4,9.100000000000001
 味之绝美蛙鱼火锅(科华总店) ,12390,8.8,8.4,8.6,9.1
 玥轩YUE HIN(IFS国际金融中心店) ,7717,8.7,9.0,8.9,9.0
 生如夏花泰式火锅(西村欢聚店) ,9474,8.8,8.9,8.9,9.0
 饕林餐厅(奎星楼店) ,10999,8.8,8.3,8.7,8.95
 大龙燚火锅HOYO店(太古里店) ,14053,8.6,8.5,8.6,8.95
 盡膳口福跷脚牛肉火锅(科华北路店) ,10134,8.6,8.6,8.6,8.95
 巴蜀大将火锅(春熙店) ,12650,8.7,8.5,8.7,8.95
 鸡毛店·川菜(东郊记忆店) ,6456,9.0,9.0,9.1,8.9
 生如夏花泰式火锅(鹭洲里店) ,7049,9.0,9.1,9.0,8.9
 海底捞火锅(世豪广场店) ,6958,9.0,9.1,9.2,8.9
 海底捞火锅(阳光新业店) ,9623,8.4,8.9,9.1,8.85
 蜀大侠火锅(春熙店) ,16556,8.7,8.6,8.4,8.8
 四千高原·云南菜(武侯店) ,6774,8.9,9.0,9.0,8.75
 烤匠麻辣烤鱼(龙湖滨江店) ,5976,9.0,8.9,9.0,8.75
