店名,评论,人均消费,口味,环境,服务,电话,地址,详情页
店名,评论,人均消费,口味,环境,服务,电话,地址,详情页
 十八梯邓凳面(解放碑总店) , 12168 条评价 ,人均: 19 元,8.4 ,8.1 ,8.3 , 17808561423   17383021965 , 潘家沟17号（政府办事大厅斜对面、近日月光2号出口） ,https://www.dianping.com/shop/E7144fDzFwufBOfV
 雅云台·Skyline江景餐厅 (南滨路店) , 1183 条评价 ,人均: 450 元,9.1 ,9.3 ,9.3 , 17784377178   023-62826925 , 下石浩路喜马拉雅行政公馆（b6停车场出入口） ,https://www.dianping.com/shop/k2stmc4XTA3zBBXs
 渝味洞藏•洞子火锅 , 5371 条评价 ,人均: 102 元,8.9 ,8.5 ,9.0 , 023-68810686 , 菜园坝街道公园路82号 ,https://www.dianping.com/shop/k3p7wEN1DVBUl39g
 饭粑跎(得意世界店) , 12857 条评价 ,人均: 55 元,8.2 ,8.3 ,8.3 , 18780986223   023-68815168 , 新华路得意世界C区1楼1-2号商铺 ,https://www.dianping.com/shop/ka6QGLCfULgFIBUm
 李串串老店·李杰一家三口(解放碑总店) , 14370 条评价 ,人均: 90 元,8.3 ,7.6 ,7.9 , 023-63929286 , 宏声巷5号1-3-5（重庆市聋哑学校旁） ,https://www.dianping.com/shop/H2PV4GlntGwd9k3p
 情书·中餐厅(长嘉汇店) , 2610 条评价 ,人均: 148 元,9.1 ,9.3 ,9.2 , 18983898977 , 南滨路长嘉汇购物公园5楼 ,https://www.dianping.com/shop/l98l362ggyGR3CDW
 丁孃孃火锅(洪崖洞店) , 3300 条评价 ,人均: 93 元,9.0 ,9.0 ,9.0 , 13350341681 , 洪崖洞-沧白路48号南国丽景2楼2-1、2-2号铺 ,https://www.dianping.com/shop/l8eMYso1nynFosuB
 市外see wide江景餐厅(南滨路店) , 1997 条评价 ,人均: 143 元,7.7 ,8.4 ,8.0 , 023-62623085 , 南滨路龙门浩老街18号 ,https://www.dianping.com/shop/kawKPcnAIwPLJuLF
 莲姐火锅(洪崖洞店) , 890 条评价 ,人均: 92 元,8.5 ,8.1 ,8.4 , 19123380185 , 九尺坎12号1-3室 ,https://www.dianping.com/shop/H2ldKTVKEzfhyNwg
 在渝里·重庆火锅(十八梯原址保留火锅单位店) , 4492 条评价 ,人均: 98 元,9.0 ,9.0 ,9.1 , 023-63890555 , 中兴路十八梯传统风貌区A4-A5号楼3-4层12号附3-4号 ,https://www.dianping.com/shop/l2cN6AhHpvZlYCkT
 月半(解放碑店) , 13825 条评价 ,人均: 57 元,8.5 ,8.1 ,8.5 , 15696835780   023-60334778 , 青年路7号时代豪苑D座12-8号 ,https://www.dianping.com/shop/G5Dtt2YtbUEtNfaz
 谭记民间菜(总店) , 3037 条评价 ,人均: 52 元,9.1 ,9.1 ,9.0 , 17323909315   15178948982 , 翠云路46号 ,https://www.dianping.com/shop/l4Ci9kP66gDijNPX
 熊家江湖菜·川菜·蹄花汤(解放碑七星岗店) , 489 条评价 ,人均: 60 元,8.7 ,8.0 ,8.3 , 18315072226 , 中山一路半岛铂寓2号附15号（近后门） ,https://www.dianping.com/shop/k2oeJDitv7yoFkdu
 瓜西西火锅(洪崖洞店) , 10697 条评价 ,人均: 105 元,8.8 ,8.3 ,8.6 , 13272880828   023-68594276 , 铁板巷6号地下层自编号2号 ,https://www.dianping.com/shop/G4yn4WAyjbxB1OnO
 耍·高空露台餐厅酒吧 , 1150 条评价 ,人均: 324 元,9.1 ,9.4 ,9.1 , 023-88072715 , 朝天门街道长江滨江路2号来福士洲际酒店42楼 (LG层乘电梯至C1层水晶连廊餐厅及酒吧) ,https://www.dianping.com/shop/H9h1H6kFdVNHI26Y
